,CYFZ_PBMC,FY2H_PBMC,FLWA_PBMC,X453W_PBMC,X684C_PBMC,CZJE_PBMC,X925L_PBMC,X9JD4_PBMC,G4YW_PBMC,X4DUY_PBMC,X36TS_PBMC,CR3L_PBMC
LINC00115,1.83615,3.32087,3.13659,4.47318,5.2214,4.36157,2.08066,2.24037,2.08223,3.22784,3.55307,3.30478
NOC2L,42.24245,45.19546,42.74617,48.64507,61.91959,46.452919,43.9252,41.96022,31.2932,45.76,40.6035984,45.021746
KLHL17,2.86992,1.436633,4.750751,2.2307,2.421905,2.138922,2.810086,1.958325,2.594331,2.512004,1.530214,2.373188
PLEKHN1,0.870162,1.06565,0.958504,1.394301,1.67372,0.718597004,1.803724,0.643131029,1.02172,1.4157786,0.149006,1.359736
ISG15,24.6553,58.4852,25.8108,19.9528,28.9482,22.7554,14.4891,40.926336,33.7165,15.3824,15.7822,29.332
AGRN,0.668643606,1.565452,2.113671,0.7314009,3.981880048,2.222341305,1.331580221,0.550534037,0.599851545,1.149196246,0.711132507,3.077686995
C1orf159,9.426873,9.800343,7.395994,8.495009,13.33486871,13.809017,5.110717,12.647817,12.584708,13.5708073,9.50236,11.106063
TNFRSF18,4.36451,6.9953,8.04662,8.18039,3.67894,8.7613,5.03059,9.03363,8.519067,10.24298,3.974032,5.61354
TNFRSF4,3.701768,6.859287,7.613647,10.24421,10.143378,3.542753,2.948762,10.95352,5.775287,5.073953,3.040582,5.092519
SDF4,17.99616,33.82551,68.557334,44.046339,25.728117,21.142286,43.335568,58.67744954,64.882183,43.110134,22.78994402,54.433966
B3GALT6,0.742784,1.29959,1.88211,1.46615,0.986104,1.16004,0.105694,1.8614,2.74191,1.16487,1.04148,1.33043
UBE2J2,56.871859,49.38787294,58.101796,56.252128,65.75407,61.46475087,56.145682,57.068383,57.043538,52.742268,34.82049701,54.156945
ACAP3,3.619609014,3.589066,7.8777505,4.463468,2.6305911,0.919732436,6.186334,8.683539,9.9109351,6.3052145,2.7366891,7.826716
PUSL1,8.683319,10.245783,8.571002,7.641987,6.932327,7.995159,7.88614,18.8760137,11.935239,10.646411,11.777427,9.737254
DVL1,0.4862,0.726359,2.040923,1.065079,0.519569,0.854487,1.0124906,2.72585,1.354311,1.208702,0.772648,1.131576
MXRA8,0.7077682,0.2613614,2.61292,1.4222144,6.516796,1.363352,1.068824834,4.765149,2.425226,0.9278532,0.774395,1.220336025
AURKAIP1,38.752124,26.17573,33.55262,30.7326,37.640676,32.054291,34.02384,28.588674,38.00093,30.90599,27.584689,40.314782
CCNL2,123.688696,141.148261,164.823373,193.363751,157.321651,79.672183,149.607311,153.705604,148.452954,152.12569,79.090022,222.100074
MRPL20,50.50131,44.3877,66.37987,35.12504,53.42951,36.04169,48.62442,43.26418,54.04436,38.03496,37.16861,37.92007
ATAD3C,0.572794,0.6207102,1.660706,1.343207,1.074747,2.230193,1.545763,0.600018,1.621948,1.782103,0.980171,1.17346
ATAD3B,6.797333,1.7846799,7.9265,4.3576094,5.415328,7.530312,11.51188,8.906542,5.70069,8.842332,7.210826,6.900675
ATAD3A,4.037246,4.546248,5.996348,5.098941,3.4633355,1.960483007,7.526603,6.5351,3.645739,4.11880108,5.819271708,3.62381
SSU72,49.96873,74.98506,83.79611,78.684559,59.42274,70.07285,88.65164,99.32089,115.0293,93.711857,58.05723,85.1716
MIB2,4.1359765,4.094649089,10.1979269,6.4706508,4.9486297,6.415169,4.456028695,7.232517629,11.1030945,6.0012704,6.3695591,5.0330478
CDK11B,6.505246,4.990696,7.328388,7.713138,5.878438,15.02548,10.68123,13.506224,16.336781,13.94523,13.218634,11.602442
SLC35E2B,35.139812,20.480439,33.579858,31.084272,31.856087,21.583887,32.732151,26.128809,24.77497,26.705333,17.448502,21.02721
CDK11A,28.32063931,21.74286958,49.175015,43.674993,30.3649918,36.133433,37.999306,24.82699419,37.48171501,28.80599287,25.25808788,40.20115511
NADK,125.480283,223.023039,141.478496,202.294222,140.405273,133.2910962,133.78971,123.773947,151.589574,191.056586,147.883399,146.053028
GNB1,22.87083114,21.072977,46.98325253,27.33998768,28.5976,31.92389235,21.07852865,31.400199,24.70037281,20.69661581,29.02823786,25.0016641
PRKCZ,2.419629048,3.318947,5.283534,4.124537,5.783325,5.9342469,5.1139567,6.386269,4.474316009,4.079139,3.495042,3.235216
SKI,0.5786154,0.178125,1.00256,0.913701,0.0160901,0.169094,0.867205,1.23362,0.543447,1.778951,0.864445,3.17207
RER1,121.813214,118.82304,107.856551,110.912486,121.94703,99.14697,119.798222,103.502077,113.48548,117.971504,114.469623,100.468572
PEX10,5.56662693,3.420173,12.4152,6.7064,5.45824,4.2726,8.320382,6.658705,9.71641,11.27772,5.375662,8.297366
PLCH2,1.200583,0.8700567,0.901508,2.309628,0.3692292,0.5481015,0.476362,2.203227,1.245965,1.864958,1.1822621,0.2768236
PANK4,17.005404,22.210892,19.523343,20.42608,22.39456,19.27241,13.993067,19.597493,19.20305389,20.1026,17.474167,27.833267
TNFRSF14,137.21627,145.947595,127.300921,112.07054,105.0642756,127.38783,162.953956,144.746415,152.54719,158.59072,172.663816,113.883744
TTC34,0.468349,0.396125,0.878393,0.563355,0.329464,0.234135,0.177813,0.422344,0.748023,0.238911,0.212585,0.349562
MEGF6,2.5545002,2.30804,9.444831,4.005021,2.5506,2.980727,3.829558,8.756261,2.4900521,5.574122,4.1430102,5.0077613
TPRG1L,5.16601,4.52995,6.19619,6.26382,10.41145,6.56377,3.22421,8.64803,9.57702,5.5842,5.55562,3.55225
WRAP73,39.702379,16.93158,38.2639267,38.647357,23.702541,28.07133,37.39602,30.241112,32.384252,42.31578,39.16296,28.302392
LRRC47,7.77702,7.95536,16.40883,20.446464,13.22829,4.984466,9.234914,17.062773,15.14117,8.466943,4.234169,11.832605
CEP104,16.559087,8.4918215,10.63208,19.57077904,7.5095685,14.6435335,11.775951,23.037399,27.749494,15.37579,19.469935,15.172897
DFFB,7.364189108,8.923746,10.99394257,8.8176759,9.086625999,6.622851,10.86494,7.405765548,12.25107,7.515377,8.360477,8.615263
C1orf174,36.03624,28.669273,29.12212,32.74297,27.79159,23.90004,31.46091,43.40246,32.22441,39.58377,28.10274,31.096609
NPHP4,2.556474001,2.27476,3.413206,1.470902006,1.571586,1.7433141,3.231411,3.9262805,2.32027,2.558421,2.550307,2.093166098
KCNAB2,121.679719,109.7034838,98.134352,174.4347814,98.679919,98.43124298,122.647085,94.20264,118.2857798,140.704621,133.163957,111.186915
RPL22,57.26053,31.723712,64.78746,53.94402,49.091225,69.6289,64.14712984,79.96741,77.195012,70.902091,61.452552,41.97298
RNF207,3.3101,1.452855,1.561675,1.387481,0.815117,3.187832,6.10795,2.851969,2.185695,1.5110676,6.174028,1.109229
ICMT,15.01883,10.48453,16.91977,11.021125,15.504991,11.97779,22.49251,13.896247,13.739257,19.0161,16.45663,9.796886
ACOT7,7.402067,11.6719551,6.146883,3.801071,7.199772441,5.740116,6.741315,6.06837,4.524652,12.267006,10.88383,6.471152222
TNFRSF25,78.3339645,75.624343,129.1271439,118.217575,137.667707,91.216296,72.587448,94.388787,76.558647,85.44670175,46.82242164,61.03287785
NOL9,8.221649,16.91277,17.25915,15.83161,11.29775,10.89133,12.526678,11.671135,13.1788,6.826792,8.291216,20.99989
ZBTB48,26.6042677,21.878265,21.960436,29.833583,27.523985,18.80044,31.39,23.164067,29.03822,28.88817,20.94375,23.893707
KLHL21,18.70871,15.29359,18.346299,19.037149,16.332496,13.01039,24.400968,18.445495,16.905651,22.57036,20.58663,14.74078
PHF13,2.2714,1.33824,1.91066,1.43472,3.63908,1.64747,3.35501,3.54983,3.88391,2.48274,1.68183,2.50485
THAP3,26.243248,9.490234,12.848244,6.856813,19.492516,13.959932,17.464938,16.892071,20.976793,15.954648,6.725297,15.158073
DNAJC11,36.741241,22.455641,28.538723,28.323746,26.553004,33.130305,27.782446,26.396308,29.636249,24.721011,24.596393,30.03454
CAMTA1,26.86302268,21.748911,30.2856326,23.6092418,29.0270192,33.7186526,30.3344608,32.447508,37.861962,10.977573,30.05258,62.4109531
VAMP3,55.82323,73.69471,61.9092,84.63439,65.77692,86.75314,67.56762,51.45647,69.52014,64.66545,98.48654,58.65917
PER3,4.62372547,3.751609701,4.49464168,5.24912492,1.539050108,3.6832445,4.354274496,2.401312514,2.138886553,3.853370483,3.720262007,4.110790361
UTS2,70.6162,1.645763,78.4579,2.206006,14.67307,26.64964,1.968568,45.9178,56.3573,1.847161,2.24236,21.65738
TNFRSF9,1.0123423,5.51609,0.842109,7.23224,1.888891,1.684229,2.53876,1.167316,1.484716,2.13007,1.964342,3.8672
PARK7,192.40436,132.010857,156.07331,136.77207,180.574146,154.96561,187.936289,173.69368,166.690974,137.437597,160.092406,161.25829
SLC45A1,0.622403,0.160454,0.845661,0.745134,0.745381,0.697637,0.247963,0.873373,1.042915,0.797571,0.878072,0.2312513
RERE,11.702144,10.69607471,13.4790505,9.169777,6.51756358,13.2910741,21.622261,14.2191813,10.2060451,14.6567978,5.5981972,8.1842259
ENO1,568.13033,800.82316,730.94202,777.510433,712.693281,702.81984,596.4728,615.57009,675.248897,693.189879,803.37379,533.37064
CA6,3.61637,7.040984,2.616461,2.237987,3.912453,7.280437,4.352945,6.898842,2.500299,4.69312,1.031429,5.67996
SLC2A5,1.618182,0.242942,2.996626,1.7864756,3.6734617,0.6599276,3.08159161,0.717495,0.8384143,1.9859013,1.84597,2.811138184
GPR157,2.118138,1.664044,1.36981,1.66357,0.643268,0.726097,1.540667,1.014573,0.867367,0.941116,0.621223,1.2373
H6PD,6.571751,6.4098959,6.448841,5.673999,5.595297,5.224581,4.768287,4.0648,6.166254,4.494951,5.009348,2.716162
SLC25A33,1.41431,1.90951,2.38965,1.92736,0.878429,2.87662,1.68016,1.57722,1.6527,1.58522,2.63723,2.18391
TMEM201,1.1271378,0.73128,1.904137,4.3341947,1.483012,1.332469,0.506228998,2.301607,1.5059082,0.806744,2.812058,0.898715
PIK3CD,86.043602,91.39643132,67.06900187,82.27183204,91.73398,77.86340072,107.84806,94.33348002,85.67657628,106.402889,86.24212242,95.64308689
CLSTN1,15.15492,14.754175,21.55259,24.407531,16.04618,11.535683,17.68412,19.74437,18.53077,13.61379,14.372995,20.43569
CTNNBIP1,1.996719,4.405342,9.867204,4.990739,2.696583,2.659265,9.974426,2.28223,5.355247,3.958241,2.60375,4.20406
LZIC,23.95511,17.60406,20.233521,17.60152,17.803315,24.19772,22.581611,15.49922094,20.927986,18.52848,13.216337,11.272351
NMNAT1,11.38772,10.08952,11.91075,14.31353,18.18036,10.03477,15.33193,11.46229,14.976793,13.536568,11.65277,9.598068
RBP7,13.76242,20.36528,21.27485,26.63579,13.55104,12.808634,18.60952,14.972592,32.39553,12.5152,29.11789,17.943287
UBE4B,13.734304,18.069603,23.678971,17.22177,25.173448,18.337091,13.68696,14.552565,15.362098,14.3820511,11.691928,29.636766
KIF1B,3.6025621,5.791962171,5.090505,5.676077,3.084789,2.701886304,5.914518065,5.548802,5.675818,5.8079453,4.777309001,9.953484
PGD,145.25016,222.140886,186.89663,211.616481,149.78301,194.077,229.810503,182.03285,227.051758,222.33788,252.469539,147.247397
DFFA,23.91082,15.33181,17.82174,15.93858,22.94349,21.84595,21.437995,16.95951,17.25696,20.36717,19.59898,15.080696
PEX14,7.011377,9.795496,6.37191,7.436928,5.779232,6.493985,5.121808,8.914793,6.142217,6.291466,8.82839,11.95131
CASZ1,1.4481839,0.897658,2.621394,1.124312,0.8179754,2.6153286,2.94286448,3.611842,2.929958,1.7400714,1.741982,1.6592293
TARDBP,119.965609,118.632664,149.732679,153.947992,156.783064,149.138595,154.1467365,116.5446113,150.762418,167.775107,105.855203,124.804987
SRM,5.297338,2.330518,3.98377,6.545091,3.555429,6.350502,5.12143,16.06308,16.67963,5.906356,3.226333,5.117546
EXOSC10,102.4081029,95.434011,91.11559802,102.5435285,94.510207,82.928624,70.66582715,75.212307,79.6910886,84.6088429,56.3130467,81.98142423
MTOR,12.52432,8.575394,11.877174,20.5337468,20.029263,11.168357,12.730632,10.307837,18.670594,14.1179146,11.479981,16.51564
UBIAD1,24.594098,13.942842,21.915868,27.77478,24.93229,18.114558,25.17273,18.892883,22.46406,24.62414,20.184266,25.23824
FBXO2,0.33855,1.049485,1.427341,0.260979,0.34948,1.25048,0.0674187,0.474889,0.978256,0.413644,0.124553,0.439726
FBXO44,26.904526,18.39271,22.75614,29.025515,30.1829,18.209375,21.93658067,21.89088,27.205613,17.64852,20.180739,26.718174
FBXO6,35.3259,69.182414,32.9128,30.1006,36.7051,31.1988,26.5772,24.321443,36.568221,27.8934,40.518871,27.7979
MAD2L2,49.369021,36.419328,38.6265,40.555807,42.662782,47.42273,38.802807,37.269481,55.74415689,34.767563,43.543314,43.589959
DRAXIN,0.951751,0.349928,1.42029,0.717593,0.252317,0.419094,0.819465,0.696151,1.38663,0.930794,0.262469,0.351258
AGTRAP,249.3359901,306.9589,223.507574,256.071728,250.18473,282.10494,226.32917,229.265191,285.67512,234.1087543,306.14506,255.1557935
MTHFR,8.485053761,18.0645,16.4201776,13.549207,10.105314,18.333516,12.695785,14.388573,11.8603742,14.0869329,15.1904522,10.01987787
CLCN6,13.675147,14.523024,7.73496,11.538846,8.21269,7.301299,12.824039,6.624964,10.997471,6.70216631,14.528105,10.97045
KIAA2013,5.180036,4.082517,15.380664,6.73262,8.45475,7.70441,8.391118,14.39621,13.00149,14.4237,10.7399,8.16204
PLOD1,32.861207,45.4394412,30.894908,51.692909,40.134375,43.764298,52.851533,36.339824,36.984556,43.125092,40.754932,40.74416
MFN2,33.751099,46.364858,33.630705,50.191791,33.01845,44.058579,36.266704,34.496125,28.846725,53.265646,23.574428,35.790923
