,CYFZ_PBMC,FY2H_PBMC,FLWA_PBMC,X453W_PBMC,X684C_PBMC,CZJE_PBMC,X925L_PBMC,X9JD4_PBMC,G4YW_PBMC,X4DUY_PBMC,X36TS_PBMC,CR3L_PBMC
MIIP,64.51374,81.537749,71.591115,84.324511,81.04085,49.580979,64.516077,56.27596,65.07583,55.551768,61.393568,65.613121
TNFRSF8,20.1482737,13.9628,9.18792,17.67129689,20.09503391,9.33706774,18.25829439,13.4097865,23.1032,25.6140989,12.9003,8.6971264
TNFRSF1B,149.69964,296.28742,259.78129,302.72173,204.64474,126.70544,242.4717,271.69132,311.59319,313.08899,194.63545,388.22038
VPS13D,11.464756,10.2786897,8.747873083,21.857714,16.41913627,13.8249842,17.602951,13.1326569,12.8788227,9.509791,13.68087146,15.33286537
DHRS3,55.45238,40.347123,79.56629,63.16679,49.38225,59.84991,41.30957,52.2936,60.131602,57.85056,37.73535,66.91924
PRDM2,22.771586,23.77098746,22.137773,29.888253,19.09911,37.255548,26.125466,26.50347,27.049458,18.46860782,23.137663,35.175525
EFHD2,35.973123,24.97886,55.2051,39.939027,31.3741,35.070592,36.72307,39.142492,49.695373,37.116472,48.47389,18.66107
CASP9,7.73147,15.009854,13.86834,18.00721,10.053478,21.30589,13.518078,14.4956,14.796355,14.49449,26.282232,26.504753
DNAJC16,13.9742241,16.1247825,27.39131643,17.0637592,32.676772,17.5623332,25.11765081,13.743782,24.18843932,23.38387344,15.08067,17.695832
AGMAT,1.55446,2.35658,3.05383,3.05819,4.0297,1.92374,1.60933,3.5664,3.01011,4.50426,0.576895,2.64586
DDI2,6.344497,5.85224,8.359875,10.71902,8.767987,9.60356,10.745028,9.173766,8.545057,12.115216,8.791906,11.0571
PLEKHM2,8.485957,6.699,12.55387,12.60535,8.75591,11.51329,7.45662,13.72277,11.45148,5.06414,9.66496,13.07223
FBLIM1,1.972418,0.652301,1.302028,1.921158,0.7525861,0.499521,1.567203,1.670744,1.781631,0.635163,0.715476,1.00722007
SPEN,15.76641,11.01138,29.76736155,32.93373,19.50668,17.30131,29.135447,24.6382795,22.2918622,20.677295,30.740449,23.060057
ZBTB17,29.863959,32.259442,28.991255,42.25524,47.163913,33.220889,38.381878,43.155658,36.9119033,55.135532,39.338726,44.80148
ARHGEF19,8.422452,4.560412,8.192375,4.896106,7.754361,8.548823,9.182046,8.180205,7.876307,7.01738,3.793476,6.197828
FBXO42,15.77619,20.97535,19.613632,26.809865,27.41577,20.83818,21.68033,27.82034,30.69085,26.56627,22.345652,32.442916
SZRD1,51.69192,54.85289191,50.7300153,59.71469552,45.63409,75.852125,46.350744,44.315221,41.229058,47.6111973,58.300765,54.416846
SPATA21,1.4673737,2.499157,1.0562423,1.196177,2.4867771,1.169259,2.233155,1.376277,1.183078,1.150293,1.063918,1.588471
NECAP2,129.66306,164.519522,170.883254,119.11122,175.295956,119.396046,109.02495,125.05913,133.047338,125.534217,119.850168,98.663131
NBPF1,23.710691,16.890427,14.655991,22.27504,23.55967,22.79959,30.31001,17.366771,24.107355,24.625065,11.172658,19.776701
CROCC,6.195895,7.5194393,10.842219,11.34641,10.199865,5.309005,10.8606077,12.853091,8.930814,11.911902,5.65552,11.76616
ATP13A2,7.926535,5.700894,8.8847,10.9860277,16.9268,9.905119,15.404466,11.85338,13.546009,14.344096,13.615954,8.596156609
SDHB,126.51024,103.856094,84.54589,81.4342018,112.9037806,131.95591,106.4231835,109.121024,124.768441,95.969621,115.1198559,116.04076
PADI2,7.2286619,24.038487,17.735689,39.530298,11.994494,9.06876,8.46356,8.356367,16.0647335,21.571775,17.709505,20.130534
PADI4,102.57005,187.2889,172.9557,152.85349,110.43324,122.95844,151.85047,117.47741,32.9731,126.52102,174.86187,127.5635
RCC2,12.1776,12.693962,25.0471,12.3209,20.0153,12.5395,14.5446,18.5042,20.0306719,11.1912,13.1141,8.96314
ARHGEF10L,21.15288008,30.4103439,18.720196,16.219732,23.55067003,14.56961624,30.912076,20.685557,20.907571,21.034459,24.31814011,17.729061
ALDH4A1,4.556300057,1.724783,1.61245,3.93675,3.048899,2.4912377,5.199374,2.169350326,3.69281,2.901105674,2.667983,3.32305
IFFO2,0.955171,0.66058,1.68792,1.26983,2.244093,1.692877,1.12251,2.034513,1.12258,1.718149,1.068029,0.3814367
UBR4,37.868472,35.834988,54.8722069,39.505522,30.327631,45.087284,34.20688974,50.5761596,59.853476,30.3799916,42.4472467,43.544125
EMC1,25.457919,26.137806,22.506375,36.421322,26.54089466,23.083332,26.034192,22.605861,20.11542772,26.1477,24.088934,37.93047
MRTO4,18.880056,20.75118,9.989835,15.1546,22.251577,18.064819,7.199605,12.09472,11.19863,6.409734,10.373275,21.21819
AKR7A2,75.73166,47.551,44.89054,49.3509,63.7186,64.558404,52.98463,61.021364,64.593854,83.22465,69.556367,46.1903
CAPZB,529.39426,572.06758,465.41986,511.59953,500.81489,537.355327,445.657459,464.98513,528.08479,487.34683,531.97819,425.17236
TMCO4,12.17346,14.526579,15.86913,12.5993146,19.121619,15.078023,10.574936,14.585693,11.590079,19.673515,8.406874,13.463532
OTUD3,2.15916,2.02563,3.24174,2.08204,0.626618,0.729756,1.38522,3.53893,2.80037,1.866091,2.12337,4.47008
UBXN10,0.539877,0.767059,1.04251,0.341611,0.389199,0.0142019,0.789981,0.651261,0.24343,0.328941,1.92544,0.437297
CAMK2N1,0.953354,0.662225,0.775727,1.70198,0.208396,0.647745,0.306019,0.301576,0.618855,0.261615,0.4258753,0.168698
MUL1,29.8237,29.6607,23.0242,37.478,35.5757,40.2326,27.5507,24.0093,28.2397,24.5406,30.6685,22.7596
CDA,38.89202,69.5194,51.10574,48.88065,43.60444,39.80316,61.8909,38.90933,63.20787,41.55571,51.40458,52.6282
PINK1,3.16209,5.23701,9.681155,4.59165,2.55836,3.615924,8.889308,12.89271,7.179802,15.97536,2.779759,6.54997
DDOST,238.606513,302.90393,252.94473,332.00536,281.79534,258.699828,207.59344,232.45659,249.23528,248.62699,273.60221,262.01637
HP1BP3,93.756756,103.449347,92.943334,109.03744,111.808035,67.864767,118.349818,85.58088652,101.647169,110.059863,83.026502,129.774578
EIF4G3,13.9510212,21.074423,30.61609406,18.948025,14.196311,15.56762455,31.626562,11.540408,19.7857055,11.75405793,11.186342,24.5197399
ECE1,30.388163,43.26154,22.0263479,46.73913,33.3645825,35.46779316,42.553363,40.133016,40.36464,52.100923,42.336513,38.940318
NBPF3,14.8287037,13.179556,9.511927,11.517007,14.39579039,7.21843,10.71499052,11.41822539,9.057370014,11.775596,6.636342,9.447068
USP48,47.8468581,46.90792,61.816775,74.922691,49.667062,48.350316,80.327778,69.936425,71.540885,80.7291456,48.07192987,98.040766
HSPG2,0.6341619,0.8905251,1.7039204,0.6155905,0.9172714,1.2766141,0.5715273,0.3388842,1.0851231,0.8316231,0.3431168,0.2370454
LINC00339,25.625423,8.32053,11.966397,20.687576,28.302939,18.51131,11.70958677,7.515155,15.147594,13.723948,21.159443,28.022609
CDC42,307.78981,355.3449,301.59786,375.49844,372.6767,407.19364,275.62772,289.93344,276.14059,310.6818,320.92311,264.17077
ZBTB40,6.054146,5.951517113,9.12676,9.247379,10.08905679,10.93980001,12.22298,10.869696,7.12153909,15.22776176,9.69608,11.01906866
C1QA,15.736507,24.32513,2.85939,11.03576,9.28468,1.918682,6.12255,3.27614,7.48744,8.277218,25.8356,19.16064
C1QB,7.51914,13.5519,0.943768,5.111639,6.4884,2.222609,1.398224752,0.484414,4.97437,2.97891,16.838714,10.216082
EPHB2,0.1475415,1.5049053,0.750178,0.505308,0.3296052,1.09830968,0.5613426,1.972168,0.6941589,0.6015959,0.6797639,0.546005
KDM1A,13.04945,10.309378,24.10964,16.06804258,12.96821,9.75255,16.138207,16.82688,16.53474,15.34229,11.65329,15.42029018
LUZP1,13.61519,12.1204224,7.38619,10.3092236,8.46201,17.9805673,16.76358,16.2139,14.1660692,11.13031,11.7548868,21.7752675
HNRNPR,153.50946,144.725363,151.208816,168.027958,164.66138,136.107089,124.851168,136.651,125.783354,145.54026,111.963571,141.13609
ZNF436,2.65074,7.30961,1.22631,1.334360086,1.7008,1.045511,5.25814,5.35667,6.910747,9.40528,1.626676,4.37532
TCEA3,9.359644,7.082393,4.50324,10.92406,13.612753,9.21499,5.287782,7.75813,8.41742,9.003537,4.36264,9.421458
E2F2,2.97042,3.75905,1.8228,3.56293,4.286619,0.801999,4.14132,4.07972,2.42352,4.343835,2.30684,2.49063
ID3,6.205327,4.147423,5.049674,4.915391,9.769093,12.95806,14.93373,9.97928,11.23581,10.66078,7.91963,16.36663
MDS2,35.43046,19.78034,18.64341,21.66782,40.16385,15.683386,26.20709,25.99891,15.33257,36.8243,9.767487,26.993763
RPL11,443.8612,225.324993,478.21172,312.5377,245.2701,422.9149,625.14806,729.450051,636.577849,521.573351,560.8214,313.325955
PITHD1,54.905111,52.20424,51.17641,64.894879,63.3495,43.3382,45.099001,69.4022,48.33749,50.65905,50.38432,58.60586
LYPLA2,77.811261,94.16752,102.9532907,132.18009,77.442993,70.560805,85.38281,72.731418,84.22692581,72.57040701,66.04567,90.92989125
GALE,21.199648,15.287675,17.805125,10.225798,13.187817,10.91981712,15.33664327,13.538853,18.7683706,18.510092,9.7984438,11.76456448
HMGCL,45.247712,29.208534,39.136456,44.756624,57.483503,33.65758,40.59879028,45.26395,45.879245,43.723945,25.008991,29.423068
FUCA1,36.5847,77.4771,59.2349,61.5867,34.7459,24.8683,24.8329,40.6891,61.3748,43.205,28.1387,21.3599
CNR2,5.09053,4.22733,8.20729,2.80072,9.86126,5.67385,7.83122,4.0288,4.53509,4.53172,3.30316,4.82425
PNRC2,238.43928,194.170966,226.77842,266.12835,260.199961,228.074904,171.784222,181.006773,177.940236,172.878433,182.76741,177.93771
SRSF10,134.577878,157.0786,130.89423,162.053954,160.535098,113.6532,113.76306,155.319641,130.58029,125.21065,117.096521,132.85122
IFNLR1,3.521033,1.24742,1.9136284,4.059893,4.806177,3.366898,2.3533066,3.52411,2.380546,2.880437,1.09589,4.49128
STPG1,4.27542,2.319074,3.435225,2.800351,3.263211,4.869211,1.879295,3.561564,5.562915,2.476068,3.453877,3.095798
NIPAL3,46.471625,31.79092,27.218959,36.509321,33.358075,36.420038,31.148312,36.442728,21.09314,31.730059,19.881775,38.552066
RCAN3,26.080026,18.092558,29.156037,23.881311,36.247014,23.307893,20.218521,31.118963,24.151063,28.323586,16.344908,24.391689
SRRM1,70.83281905,103.494364,84.72880924,106.6884723,128.6987511,127.20907,90.957788,73.164897,82.889065,79.95516,86.552552,116.86853
CLIC4,24.2899065,29.9431,22.0774,18.473045,25.69358062,20.5963,34.430648,15.8818,22.54006,26.547056,24.077183,25.659558
RUNX3,21.514346,17.870105,41.62361,33.495033,21.370681,27.105833,15.942296,25.365522,29.266082,17.116015,29.966779,28.38594
SYF2,84.4487689,89.25755,81.11834,103.43541,81.65626,89.18259,65.98523,70.39161,67.93572,44.72783,67.45564,79.74109
TMEM50A,169.66997,178.08905,159.28671,143.65931,162.742675,181.01843,142.538272,123.57081,138.19065,119.60225,128.48438,149.65207
LDLRAP1,79.27609,57.0506,112.95367,88.86228,111.628351,71.593937,94.45292,138.348236,117.02168,164.56912,64.7511,79.66355
MAN1C1,2.84595881,2.015338,5.000447004,3.4184731,6.605346016,4.4865785,2.3735423,5.526278,3.26905534,3.886817,2.621341801,6.0023888
MTFR1L,52.493599,63.4609982,75.4113554,71.245491,78.712994,57.096242,51.334692,57.53421401,67.464982,76.35297,58.851806,71.61181
PAQR7,3.10245,3.03172,2.82732,1.95233,1.98794,2.70317,2.7005,3.35549,3.33962,2.02245,2.70373,3.63093
STMN1,39.679447,27.485643,17.11376475,30.56360271,54.944231,43.799534,22.160127,39.224206,35.276632,60.111658,28.146277,33.284922
PAFAH2,22.76646,13.36397,18.33125,34.30562,26.239122,13.083027,16.8927,20.897237,19.132519,17.517059,13.008317,14.6989
PDIK1L,5.55322,2.572618,9.11427,7.434857,5.957581,6.71052,11.82676,5.817482,7.78928,10.52073,4.321594021,4.80246
ZNF593,5.65033,5.44633,5.71138,5.34725,5.71222,3.41221,4.534,5.2964,9.604361,3.188,8.76326,4.2582
CNKSR1,1.322841013,2.423617,0.664974503,2.729136,1.1286977,1.298339142,1.541475016,0.9478983,1.89581515,2.639771,5.488075,1.491973
CEP85,12.605498,19.148632,11.677106,19.6151,19.92227,13.02220042,13.647876,15.080432,14.500391,14.120899,10.0235697,8.51498035
SH3BGRL3,689.365,701.136,627.136,469.571,551.905,594.609,734.617,674.515,703.086,507.056,643.392,669.457
UBXN11,129.025476,169.011306,190.943242,202.49751,147.4663394,126.557475,150.024456,139.684711,143.2011763,165.7989,133.172853,145.275262
CD52,427.3824,473.3659,1018.51483,440.894,412.8526,291.2439,380.5296,354.803,391.924,300.812,235.4306,212.4656
ZNF683,96.957055,111.920083,5.398889,84.74934,87.160953,19.901633,27.377765,28.32822,12.820437,29.51453284,35.009599,9.582728
DHDDS,22.508009,35.033661,24.608384,33.786195,38.878752,25.212727,18.783864,21.321878,13.14724379,25.6367304,20.033485,20.05543106
HMGN2,551.97192,664.948449,495.37231,580.85381,864.31012,711.885643,425.490401,509.969609,518.740883,650.81879,573.4251111,498.5948776
RPS6KA1,122.57278,149.2641322,114.391637,126.43626,138.281745,127.6718101,155.473492,147.591483,139.167646,182.093529,117.920693,129.322774
ARID1A,36.388702,29.886152,52.57370004,50.910139,50.329843,44.46074,41.470331,47.987263,50.2382777,30.296976,37.8387833,47.790523
PIGV,19.084618,6.169869,11.51194,17.682833,13.33441,8.71026061,11.805093,15.560162,19.283288,14.789315,6.32176,11.582796
ZDHHC18,10.43382,3.52538,11.85619,14.05872,6.40240473,8.165971,4.013445,7.12188,6.315018,13.250914,10.917188,19.71252
GPN2,14.93913,31.53363,7.58544,24.37446,33.57038,28.18286,19.65833,24.4922,20.91349,35.79853,25.65114,25.13508
